Method,Role,Calls,Prompt Tokens,Completion Tokens,Total Tokens,Calls/task,Tokens/task
HPAF-Flat,flat_program_agent,40,51615,6608,58223,1.0,1455.575
HPAF-Flat,flat_verifier,40,47389,3038,50427,1.0,1260.675
HPAF-Full,atomic_program_agent,53,74100,7001,81101,1.325,2027.525
HPAF-Full,atomic_verifier,53,52126,3181,55307,1.325,1382.675
HPAF-Full,post_repair_verifier,16,16055,1300,17355,0.4,433.875
HPAF-Full,repair_program_agent,16,27799,1902,29701,0.4,742.525
HPAF-Full,task_agent,40,50133,4037,54170,1.0,1354.25
ProgPrompt-Compat,assertion_verification,413,178695,1089,179784,10.325,4494.6
ProgPrompt-Compat,whole_program_generation,40,76474,16256,92730,1.0,2318.25
