Dimension,Bin,N,ProgPrompt-Compat Success,ProgPrompt-Compat SR,HPAF-Flat Success,HPAF-Flat SR,HPAF-Full Success,HPAF-Full SR
atomic_count,1,29,22,0.7586206896551724,16,0.5517241379310345,23,0.7931034482758621
atomic_count,2,9,0,0.0,8,0.8888888888888888,7,0.7777777777777778
atomic_count,3,2,0,0.0,2,1.0,2,1.0
atomic_count,>=4,0,0,,0,,0,
dependency_depth,D=1,29,22,0.7586206896551724,16,0.5517241379310345,23,0.7931034482758621
dependency_depth,D=2,9,0,0.0,8,0.8888888888888888,7,0.7777777777777778
dependency_depth,D=3,2,0,0.0,2,1.0,2,1.0
dependency_depth,D>=4,0,0,,0,,0,
