horizon,method,n_tasks,official_sr,official_gcr,exec,semantic_sr,semantic_gcr,avg_llm_calls,avg_tokens,avg_planning_latency_s
Short,ProgPrompt-GraphCompatible,3,0.0,0.5694444444444444,0.8727272727272728,1.0,1.0,4.666666666666667,3474.6666666666665,21.57179776966666
Short,HPAF-Flat,3,0.6666666666666666,0.8333333333333334,0.9444444444444444,1.0,1.0,1.0,1662.6666666666667,3.393343270999992
Short,HPAF-Hierarchical,3,0.0,0.6527777777777778,1.0,1.0,1.0,1.0,1654.6666666666667,2.269963373333335
Medium,ProgPrompt-GraphCompatible,5,0.6,0.8772727272727273,0.9173573975044563,0.6,0.7,10.6,6045.2,57.32648687499994
Medium,HPAF-Flat,5,0.6,0.7625,1.0,1.0,1.0,1.0,1719.2,3.9453231075999726
Medium,HPAF-Hierarchical,5,0.6,0.7625,0.98,1.0,1.0,1.6,2709.8,6.361596434600028
Long,ProgPrompt-GraphCompatible,2,0.0,0.5303030303030303,0.912962962962963,1.0,1.0,15.5,8328.5,81.01459199700003
Long,HPAF-Flat,2,0.0,0.2272727272727273,1.0,1.0,1.0,1.0,1730.5,4.884026644500011
Long,HPAF-Hierarchical,2,0.0,0.2272727272727273,1.0,1.0,1.0,1.5,2570.0,11.405449987500049
