Set,Method,Tasks,Success,Task SR,Macro Exec,Avg Tokens,Avg Calls
Confirmatory Long-11,ProgPrompt-Compat,11,0,0.000000,0.897408,9594.364,17.182
Confirmatory Long-11,HPAF-Flat,11,7,0.636364,0.809046,3357.000,2.000
Confirmatory Long-11,HPAF-Full,11,3,0.272727,0.623377,6283.182,5.727
Combined VH-40,ProgPrompt-Compat,40,18,0.450000,0.917469,6882.675,11.475
Combined VH-40,HPAF-Flat,40,27,0.675000,0.835372,2726.875,2.000
Combined VH-40,HPAF-Full,40,28,0.700000,0.841309,5818.025,5.150
Official Regression-29,ProgPrompt-Compat,29,18,0.620690,0.925078,5854.103,9.310
Official Regression-29,HPAF-Flat,29,20,0.689655,0.845358,2487.862,2.000
Official Regression-29,HPAF-Full,29,25,0.862069,0.923973,5641.586,4.931
