Method,Role,Calls,Prompt Tokens,Completion Tokens,Total Tokens,Calls/Task,Tokens/Task
HPAF-Flat,flat_program_agent,40,51615,6370,57985,1.0,1449.625
HPAF-Flat,flat_verifier,40,47826,3264,51090,1.0,1277.25
HPAF-Full,atomic_program_agent,72,93318,6674,99992,1.8,2499.8
HPAF-Full,atomic_verifier,72,56285,4288,60573,1.8,1514.325
HPAF-Full,post_repair_verifier,11,10105,951,11056,0.275,276.4
HPAF-Full,repair_program_agent,11,18808,1084,19892,0.275,497.3
HPAF-Full,task_agent,40,36413,4795,41208,1.0,1030.2
ProgPrompt-Compat,assertion_verification,419,181237,1177,182414,10.475,4560.35
ProgPrompt-Compat,whole_program_generation,40,76474,16419,92893,1.0,2322.325
