method,n_tasks,semantic_gcr,official_sr,official_gcr,avg_planning_latency,avg_verification_latency,avg_total_llm_latency,avg_generation_calls,avg_verification_calls,avg_repair_calls,avg_atomic_tasks,retry_rate_per_attempted_atomic,first_pass_atomic_success,early_stop_count,avg_assertion_verification_calls,avg_whole_program_generation_calls,avg_assertion_verification_tokens,avg_whole_program_generation_tokens,avg_flat_program_agent_calls,avg_flat_verifier_calls,avg_flat_program_agent_tokens,avg_flat_verifier_tokens,avg_atomic_program_agent_calls,avg_atomic_verifier_calls,avg_post_repair_verifier_calls,avg_repair_program_agent_calls,avg_task_agent_calls,avg_atomic_program_agent_tokens,avg_atomic_verifier_tokens,avg_post_repair_verifier_tokens,avg_repair_program_agent_tokens,avg_task_agent_tokens
ProgPrompt,20,0.825,0.6,0.8357683982683983,6.104543917249975,37.7959306601003,43.900474577350266,1.0,7.6,0.0,0.0,0.0,0.0,0,7.6,1.0,2902.95,2212.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPAF-Flat,20,0.75,0.55,0.801060606060606,4.056640589649942,4.51158331624988,8.568223905899822,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1434.15,948.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPAF-Full,20,0.95,0.6,0.8410308441558442,8.694970523949996,5.0571165837500756,13.752087107700072,2.3,1.5,0.2,1.35,0.15384615384615385,0.8461538461538461,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,0.2,1.0,1860.7,1081.85,152.65,382.4,926.8
