method,n,task_successes,semantic_sr,macro_exec,successful_actions,attempted_actions,micro_exec,total_llm_calls,total_prompt_tokens,total_completion_tokens,total_tokens,average_calls_per_task,average_tokens_per_task
ProgPrompt,20,16,0.8,0.9183284650132476,231,255,0.9058823529411765,172,83943,18367,102310,8.6,5115.5
HPAF-Flat,20,15,0.75,0.935,108,115,0.9391304347826087,40,44243,3403,47646,2.0,2382.3
HPAF-Full,20,19,0.95,0.9595833333333333,111,117,0.9487179487179487,80,83103,4985,88088,4.0,4404.4
