set,method,n,success,task_sr,macro_exec,micro_exec,successful_actions,attempted_actions,avg_tokens_per_task,avg_calls_per_task,total_prompt_tokens,total_completion_tokens,total_tokens,total_calls
Regression,ProgPrompt,20,17,0.85,0.8116421356421356,0.7768924302788844,195,251,4523.65,8.65,83980,6493,90473,173
Regression,HPAF-Flat,20,18,0.9,0.9875,0.9833333333333333,118,120,2509.75,2.0,46996,3199,50195,40
Regression,HPAF-Full,20,20,1.0,0.9916666666666667,0.991304347826087,114,115,4320.95,3.8,81651,4768,86419,76
Confirmatory,ProgPrompt,9,4,0.4444444444444444,0.7202388487857595,0.7101449275362319,98,138,5015.888888888889,10.11111111111111,41524,3619,45143,91
Confirmatory,HPAF-Flat,9,1,0.1111111111111111,0.875,0.8695652173913043,60,69,2772.5555555555557,2.0,22829,2124,24953,18
Confirmatory,HPAF-Full,9,1,0.1111111111111111,0.8333333333333334,0.8615384615384616,56,65,6458.222222222223,5.444444444444445,54710,3414,58124,49
Combined,ProgPrompt,29,21,0.7241379310344828,0.783275598341881,0.7532133676092545,293,389,4676.413793103448,9.10344827586207,125504,10112,135616,264
Combined,HPAF-Flat,29,19,0.6551724137931034,0.9525862068965517,0.9417989417989417,178,189,2591.310344827586,2.0,69825,5323,75148,58
Combined,HPAF-Full,29,21,0.7241379310344828,0.9425287356321839,0.9444444444444444,170,180,4984.241379310345,4.310344827586207,136361,8182,144543,125
