difficulty_bucket,method,tasks,SR,GCR,Exec,Avg_LLM_Calls,Avg_Total_Tokens
Short,ProgPrompt-Full,3,0.3333333333333333,0.5555555555555555,0.6523809523809524,6.0,3651.3333333333335
Short,HPAF-Decomp-Static,3,0.0,0.5694444444444445,0.9060606060606061,3.6666666666666665,4675.0
Short,HPAF-Decomp-ClosedLoop,3,0.3333333333333333,0.6666666666666666,0.8257575757575758,3.3333333333333335,3955.6666666666665
Medium,ProgPrompt-Full,5,0.6,0.8522727272727273,0.7475524475524475,10.2,5220.8
Medium,HPAF-Decomp-Static,5,0.6,0.853409090909091,0.8721621621621622,7.0,9330.4
Medium,HPAF-Decomp-ClosedLoop,5,0.0,0.21022727272727276,0.8111111111111111,3.6,4362.8
Long,ProgPrompt-Full,2,0.5,0.6666666666666667,0.7075757575757575,16.5,7470.5
Long,HPAF-Decomp-Static,2,0.0,0.09090909090909088,0.7865497076023391,4.5,5942.5
Long,HPAF-Decomp-ClosedLoop,2,0.0,0.0,0.8888888888888888,4.0,5189.5
